3,0.83719,0.85191,0.84773,0.83506,0.83719,0.83719,0.83506,0.86638,0.84563,0.84982,0.83506,0.83719,0.82866,0.83931,0.82004,0.83293,0.84353,0.84563,0.85607,0.85399,0.84142,0.83931,0.82651,0.83079,0.86021,0.83931,0.84353,0.83505,0.85814,0.83931,0.82651,0.82651,0.8308,0.8519
7,0.2,0.2247,0.21707,0.21707,0.2,0.2,0.21707,0.22525,0.21707,0.22525,0.20888,0.21707,0.23288,0.20888,0.19021,0.20888,0.21707,0.22525,0.24768,0.24051,0.22525,0.22525,0.19021,0.22525,0.23288,0.21707,0.21707,0.19021,0.21707,0.22525,0.20888,0.19021,0.19112,0.23288
5,0.26164,0.26164,0.26843,0.26164,0.24768,0.25485,0.26164,0.28135,0.26164,0.26843,0.25485,0.25485,0.26843,0.26843,0.25485,0.26164,0.26843,0.26843,0.28135,0.26843,0.27489,0.26164,0.24051,0.25485,0.26843,0.26843,0.25485,0.24768,0.25447,0.27489,0.26164,0.24051,0.26164,0.26843
6,0.74513,0.75696,0.75696,0.74751,0.74513,0.74751,0.74513,0.76628,0.75225,0.75225,0.74513,0.74989,0.75225,0.74751,0.73311,0.74512,0.75696,0.75696,0.76163,0.7593,0.75225,0.75225,0.74033,0.74751,0.76628,0.78686,0.74989,0.74751,0.74751,0.75225,0.74512,0.73794,0.74513,0.75929
2,0.29371,0.27489,0.28135,0.28107,0.27489,0.28135,0.28135,0.28753,0.28753,0.28135,0.27489,0.27489,0.30534,0.28135,0.26843,0.26843,0.27489,0.29371,0.30557,0.26843,0.29371,0.28135,0.2681,0.29371,0.28753,0.27489,0.26843,0.26843,0.29371,0.29371,0.28753,0.27489,0.28135,0.27489
4,0.26164,0.26164,0.26843,0.26164,0.24768,0.25485,0.26164,0.28135,0.26164,0.26843,0.25485,0.25485,0.26843,0.26843,0.25485,0.26164,0.26843,0.26843,0.28135,0.26843,0.27489,0.26164,0.24051,0.25485,0.26843,0.26843,0.25485,0.24768,0.25447,0.27489,0.26164,0.24051,0.26164,0.26843
8,0.9045,0.91621,0.91621,0.89859,0.90253,0.9045,0.89661,0.92777,0.91427,0.91427,0.8966,0.90057,0.89661,0.90056,0.88263,0.90057,0.91037,0.91232,0.92777,0.92393,0.89463,0.89264,0.88865,0.89661,0.92777,0.90646,0.90449,0.9045,0.90057,0.90842,0.89065,0.89264,0.89661,0.92008
1,0.93159,0.94296,0.94107,0.93159,0.92968,0.97446,0.93158,0.95606,0.93919,0.93919,0.92968,0.93159,0.93159,0.93158,0.91232,0.92585,0.93729,0.93919,0.95047,0.94672,0.9354,0.93349,0.92393,0.92777,0.9542,0.93159,0.93729,0.92777,0.92777,0.93349,0.92201,0.92393,0.92585,0.95419
0,0.2,0.2247,0.21707,0.21707,0.2,0.2,0.21707,0.22525,0.21707,0.22525,0.20888,0.21707,0.23288,0.20888,0.19021,0.20888,0.21707,0.22525,0.24768,0.24051,0.22525,0.22525,0.19021,0.22525,0.23288,0.21707,0.21707,0.19021,0.21707,0.22525,0.20888,0.19021,0.19112,0.23288
12,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.031623,0.09003,0.031623,0.031623,0.031623,0.031623,0.09003,0.12333,0.12333,0.09003,0.031623,0.09003,0.031623,0.031623,0.031623,0.031623,0.09003,0.031623,0.09003,0.031623,0.031623,0.031623
