2,5.0516,5.1874,5.5807,4.4107,4.5159,4.6719,4.5889,4.5322,4.9804,4.6835,5.028,4.7911,5.5807,5.5807,4.5177,4.5281,5.2236,4.9111,4.5438,4.9284,4.3935,4.9848,4.7055,5.5807,4.6144,4.8775,4.4129,5.2161,5.2236,4.5151,4.9584,4.9284,4.4728,4.5738,4.4354,5.5807,4.5709,4.5177,4.559,4.5613,4.5114,4.6632,4.6645,4.6428,4.4859,4.9031,4.3791,5.5807,5.5807,5.028
0,3.7303,3.7941,4.0879,3.2238,3.3175,3.4216,3.3582,3.2952,3.6621,3.4268,3.6824,3.5198,4.0879,4.0879,3.3169,3.3065,3.8376,3.597,3.3308,3.613,3.2227,3.6805,3.4582,4.0879,3.3919,3.5839,3.2036,3.8394,3.8376,3.3014,3.6314,3.613,3.2749,3.3669,3.3,4.0879,3.3417,3.3353,3.3666,3.3785,3.2976,3.4148,3.4164,3.3955,3.293,3.591,3.2191,4.0879,4.0879,3.6824
3,0.45308,0.44116,0.48157,0.36394,0.43711,0.40329,0.40329,0.41843,0.42891,0.40767,0.43303,0.42474,0.48157,0.48157,0.43912,0.40767,0.4511,0.42474,0.38985,0.41416,0.35404,0.4685,0.40985,0.48157,0.40767,0.4666,0.38296,0.45111,0.4511,0.38527,0.43506,0.41416,0.39213,0.40106,0.38063,0.48157,0.39438,0.40109,0.39881,0.40549,0.37118,0.40106,0.40109,0.38985,0.41416,0.41201,0.40329,0.48157,0.48157,0.43303
4,1.8418,1.8973,2.0451,1.6069,1.6375,1.7128,1.6692,1.6505,1.8145,1.7139,1.8413,1.7493,2.0451,2.0451,1.6489,1.6505,1.9104,1.7988,1.6559,1.8335,1.6008,1.8145,1.7175,2.0451,1.6867,1.776,1.6113,1.9043,1.9104,1.6457,1.8092,1.8335,1.6223,1.6692,1.6206,2.0451,1.6703,1.6489,1.665,1.6596,1.651,1.7071,1.7082,1.6972,1.6343,1.7959,1.5991,2.0451,2.0451,1.8413
1,1.5443,1.579,1.6988,1.3392,1.3745,1.4253,1.3988,1.3752,1.5246,1.4278,1.5293,1.4701,1.6988,1.6988,1.3848,1.3918,1.5885,1.5029,1.3976,1.5,1.3438,1.5385,1.4284,1.6988,1.4215,1.5029,1.313,1.5941,1.5885,1.3797,1.5368,1.5,1.3602,1.3938,1.3458,1.6988,1.3912,1.388,1.3829,1.4045,1.3706,1.4215,1.4253,1.4165,1.3706,1.4976,1.3372,1.6988,1.6988,1.5293
5,1.8762,1.9127,2.0598,1.6228,1.6793,1.7252,1.6967,1.6692,1.8485,1.7533,1.8557,1.774,2.0598,2.0598,1.6788,1.6676,1.928,1.8131,1.6756,1.8194,1.6179,1.8528,1.7684,2.0598,1.7071,1.8072,1.6261,1.9367,1.928,1.6628,1.8316,1.8194,1.6494,1.6993,1.6424,2.0598,1.692,1.6767,1.6951,1.6982,1.665,1.7196,1.7211,1.7087,1.6596,1.8096,1.6195,2.0598,2.0598,1.8557
6,0.35653,0.37354,0.39213,0.32253,0.3783,0.33865,0.49969,0.33068,0.40106,0.33068,0.35401,0.35902,0.39213,0.39213,0.33337,0.31415,0.36148,0.34642,0.33068,0.33865,0.30845,0.36636,0.32253,0.39213,0.34118,0.36394,0.31133,0.38527,0.36148,0.328,0.40329,0.33865,0.35653,0.32249,0.32795,0.39213,0.31693,0.33601,0.31976,0.34126,0.30834,0.328,0.33601,0.328,0.33068,0.34386,0.32253,0.39213,0.39213,0.35401
16,0.81133,0.7925,0.85814,0.67772,0.7147,0.72336,0.71471,0.70344,0.77665,0.7209,0.77321,0.74394,0.85814,0.85814,0.71346,0.69964,0.83719,0.75461,0.70722,0.75813,0.6764,0.78348,0.73674,0.85814,0.71719,0.7628,0.67772,0.8146,0.83719,0.70217,0.7686,0.75813,0.69198,0.71346,0.69326,0.85814,0.70847,0.70847,0.72703,0.73554,0.69837,0.71967,0.71595,0.71346,0.70972,0.75107,0.67772,0.85814,0.85814,0.77321
14,0.90744,0.92873,0.99431,0.79025,0.81242,0.84248,0.82004,0.81023,0.89164,0.84353,0.89859,0.88565,0.99431,0.99431,0.82544,0.80693,0.92968,0.88062,0.88163,0.87658,0.8146,0.90548,0.84248,0.99431,0.82866,0.87251,0.79025,0.93445,0.92968,0.82758,0.88565,0.87658,0.81895,0.82112,0.79808,0.99431,0.81569,0.8308,0.81787,0.81787,0.81133,0.83613,0.86021,0.82651,0.80583,0.87556,0.78913,0.99431,0.99431,0.89859
13,1.2613,1.2967,1.3963,1.1407,1.1298,1.1798,1.1415,1.1259,1.24,1.1737,1.2585,1.2044,1.3963,1.3963,1.1454,1.1282,1.3097,1.2263,1.1462,1.2335,1.1148,1.2414,1.1805,1.3963,1.1554,1.2248,1.0987,1.2967,1.3097,1.1329,1.2436,1.2335,1.1187,1.1531,1.1051,1.3963,1.1431,1.1446,1.1376,1.1439,1.1539,1.1654,1.1722,1.1646,1.1259,1.2306,1.1219,1.3963,1.3963,1.2585
