,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,DF,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4,ARID1A_mut,ARID2_mut,BRAF_mut,CDKN2A_mut,EZH2_mut,MECOM_mut,NF1_mut,NRAS_mut,PLCB1_mut,PTEN_mut,TP53_mut,loss.cnaSKCM3,loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.,loss.cnaSKCM5..PAX5.,loss.cnaSKCM9,gain.cnaSKCM12..KRAS.,gain.cnaSKCM21..FOXP1.MITF.,loss.cnaSKCM22,loss.cnaSKCM23,loss.cnaSKCM24..loss.cnaSKCM25,loss.cnaSKCM26,loss.cnaSKCM27..CASP1.,loss.cnaSKCM28,loss.cnaSKCM30,IC50_s4,AUC_s4,Emax_s4,IC50_MOGP,AUC_MOGP,Emax_MOGP
0,1036,50222_1036_1287706_0,1287706,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,0.834333016528135,0.484635675626535,0.401660313815467,0.320054129766423,0.255694801370301,0.243686588419168,0.191952855958385,0.206031921797504,0.2759369883149887,1.2000717266172227,-11.109514214143688,0.2315844039493769,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.35935927927927924,0.3662507836328241,0.2319053063591899,0.5886661152502086,0.5058504235515422,0.3573188350403598
1,1036,41016_1036_910921_0,910921,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,0.861715743139389,0.627912002207093,0.509990239280953,0.559349335252793,0.341311652115261,0.340175502483662,0.355738110228116,0.245642568717777,0.222507391568297,-0.976412016008942,-1.3875234834065564,-0.8870502680195859,0.0032426847002302,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.40384821821821826,0.3908807607768574,0.2312725991817129,0.5575381455934677,0.484329711484211,0.3201970625194974
2,1036,1957_1036_906793_0,906793,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,0.928734009073299,0.974500943364745,0.560834002135205,0.361028412816124,0.230463082976966,0.261478524677889,0.0833514788103641,0.129662897448966,0.4467287381526414,1.183469667109608,-13.862556544544796,0.1617609727132099,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4879323128128128,0.4380987708556047,0.16222744760429997,0.5971151355856098,0.5137998074327801,0.3633827604296016
3,1036,41008_1036_906830_0,906830,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,0.919199756329131,0.716914585076105,0.425825837848013,0.349965683669908,0.189057024718637,0.105828186298447,0.0929490636659037,0.038645204358293,0.0609570144106771,0.2879144441024657,0.8962392261392217,-6.989085068497825,0.0478012174846196,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.32688235385385384,0.26612966579467895,0.05465477173456541,0.6660413541112505,0.5444380805670199,0.40209733599652964
4,1036,41010_1036_910853_0,910853,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,0.668264007187739,1.0,0.940075299127872,0.951149269290729,1.0,0.951244734550754,0.801377294302085,0.524441253630629,0.321390984888238,0.8366871738030505,1.5446539492891878,-19.209402832684265,0.2833514705067041,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8950061041041041,0.7340682512289636,0.3240306812961252,1.5,0.8546695808021502,0.8313723825719421
5,1036,31139_1036_906818_0,906818,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,0.935917610876963,1.0,0.784922603448679,0.636022393246319,0.50770118533727,0.464073462430313,0.410923933950975,0.263404385556611,0.315592806785987,0.4010349649608216,1.342219020421059,-7.062161495607567,0.2962603914478209,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5809141951951953,0.518040881318387,0.3105341538277757,0.54419758716915,0.4704694782332597,0.30345268838109973
6,1036,49977_1036_1240125_0,1240125,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,1.0,1.0,0.920023549880528,0.96982588393289,0.72152301433819,0.7951928477772,0.50278531103112,0.437384818708367,0.8176285606365793,1.240453890799255,-6.509566918882713,0.2025037969907608,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9332665915915915,0.7375046693275793,0.42383038213917923,0.6349133844545095,0.534125293708668,0.38777968832297915
7,1036,41060_1036_906813_0,906813,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.016824636608115,14220.971712558512,-3.685221787215073,0.9999999999398062,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.8888889999871593,0.9999999999456916,0.5988938767088521,0.5163805806835919,0.36375873188228525
8,1036,1951_1036_687448_0,687448,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,1.0,0.801786902073347,1.0,1.0,0.427229771618348,0.452895711149968,0.185917649482174,0.424013903473299,0.6514715156746539,1.6321500997297316,-163.93717689911688,0.3542757439675855,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6618840640640641,0.647815534786965,0.3542757439675855,0.81011938509388,0.5790524701016015,0.4479239742604477
9,1036,52905_1036_753546_0,753546,2,10.0,0,0.111111111111111,0.222222222222222,0.333333333333333,0.444444444444444,0.555555555555556,0.666666666666667,0.777777777777778,0.888888888888889,1.0,1.0,1.0,1.0,0.96447059875621,0.969100011167159,0.920244986865793,0.887894614319416,0.697828029484905,0.616545395308096,0.606226970878061,0.6572471019848356,2.5404509508478306,-14.726250932787815,0.5914333456562614,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1.5,0.7651865828911777,0.5977557399141307,1.5,0.8653641915874415,0.8394918777763394
