DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,fd_uM_0_x,fd_uM_1_x,fd_uM_2_x,fd_uM_3_x,fd_uM_4_x,fd_uM_5_x,fd_uM_6_x,fd_uM_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_num_6_y,fd_num_7_y,fd_num_8_y,fd_num_9_y,fd_uM_0_y,fd_uM_1_y,fd_uM_2_y,fd_uM_3_y,fd_uM_4_y,fd_uM_5_y,fd_uM_6_y,fd_uM_7_y,fd_uM_8_y,fd_uM_9_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,norm_cells_6_y,norm_cells_7_y,norm_cells_8_y,norm_cells_9_y,param_1_y,param_2_y,param_3_y,param_4_y
1036,1287706,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.857194871,0.822377832,0.77886791,0.470065798,0.352643624,0.378767782,0.439663468,0.447011675,1.942994587,-18.15265362,0.38739499,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,0.834333017,0.484635676,0.401660314,0.32005413,0.255694801,0.243686588,0.191952856,0.206031922,0.275936988,1.200071727,-11.10951421,0.231584404
1036,910921,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.739113302,0.929644702,0.883203281,0.925024875,0.669426856,0.455650431,0.283744229,0.744751078,1.563252593,-12.97321716,0.2604459,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,0.861715743,0.627912002,0.509990239,0.559349335,0.341311652,0.340175502,0.35573811,0.245642569,0.222507392,-0.976412016,-1.387523483,-0.887050268,0.003242685
1036,906793,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.904521612,0.770314259,0.938112464,0.95672203,0.427305233,0.375104815,0.289391572,0.698247931,1.719140938,-135.5948565,0.332248192,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,0.928734009,0.974500943,0.560834002,0.361028413,0.230463083,0.261478525,0.083351479,0.129662897,0.446728738,1.183469667,-13.86255654,0.161760973
1036,906830,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.87707813,0.886586889,0.867569371,0.634430527,0.387053437,0.234863506,0.201557957,0.587317079,1.327822087,-10.37892683,0.184500684,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,0.919199756,0.716914585,0.425825838,0.349965684,0.189057025,0.105828186,0.092949064,0.038645204,0.060957014,0.287914444,0.896239226,-6.989085068,0.047801217
1036,910853,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,0.984974973,0.997353613,0.970079083,0.855972413,0.852471453,7.08805437,-110.5012643,0.855972327,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,0.668264007,1,0.940075299,0.951149269,1,0.951244735,0.801377294,0.524441254,0.321390985,0.836687174,1.544653949,-19.20940283,0.283351471
1036,906818,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.97856662,0.939519499,0.73945332,0.527857027,0.305305687,0.332793941,0.404217394,0.437128656,1.535961034,-12.38961351,0.343986579,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,0.935917611,1,0.784922603,0.636022393,0.507701185,0.464073462,0.410923934,0.263404386,0.315592807,0.401034965,1.34221902,-7.062161496,0.296260391
1036,1240125,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.879769749,0.923496704,0.66122645,0.52135508,0.343611409,0.372793206,0.5454103,1.541569529,-9.548238021,0.337391491,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,1,1,0.92002355,0.969825884,0.721523014,0.795192848,0.502785311,0.437384819,0.817628561,1.240453891,-6.509566919,0.202503797
1036,906813,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.942878795,0.8357465,0.644124606,0.433935701,0.242313806,0.180466902,0.605938178,1.114353682,-7.240576746,0.119538014,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,687448,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.843020676,0.984962954,0.875257269,0.797855689,0.455101375,0.442983116,0.430088479,0.582384146,2.021631554,-26.23142314,0.432998225,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,1,0.801786902,1,1,0.427229772,0.452895711,0.185917649,0.424013903,0.651471516,1.6321501,-163.9371769,0.354275744
1036,753546,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.863665124,0.998924752,1,1,1,0.94322256,0.688646756,0.864044794,3.466783563,-112.0929221,0.688646494,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,0,0.0390625,0.078125,0.15625,0.3125,0.625,1.25,2.5,5,10,1,1,1,0.964470599,0.969100011,0.920244987,0.887894614,0.697828029,0.616545395,0.606226971,0.657247102,2.540450951,-14.72625093,0.591433346
