DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_num_6_y,fd_num_7_y,fd_num_8,fd_num_9,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,norm_cells_6_y,norm_cells_7_y,norm_cells_8,norm_cells_9,param_1_y,param_2_y,param_3_y,param_4_y
1036,910700,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.986003091,0.891250808,0.986003091,0.760429394,1.029955874,0.517018004,-90.55144331,-0.953703081,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.814031514,1,0.876396101,1,0.890828787,1,1,0.699665302,1.023951055,0.405723781,-128.0389633,-1.511257203
1036,1290769,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.992048721,1,1,1,1,0.998528977,0.982311372,0.961752499,13.64998774,-35.75025067,0.925412177,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,910689,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.987167024,1,1,1,1,1,1,-0.055587774,-0.266247464,-113.3669824,0.998166715,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,910554,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,0.869665546,1,1,1,0.866017618,1,0.352379395,22.69993548,-311.6359788,0.955947201
1036,907291,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.966880491,1,1,1,1,1,0.85006029,1.032421753,0.545382269,-94.36923324,-0.838307544,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,0.731094838,1,0.94433681,1,0.694425515,1,0.358594747,9.521566731,-269.7471639,0.894976199
1036,905936,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.946687588,1,1,1,0.976685947,0.906698145,0.936696503,0.705674172,14.78411475,-142.1376164,0.921697348,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,0.918011245,1,1,1,1,1,0.346818461,73.18077007,-311.5223912,0.986335208
1036,907289,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.929795821,1,0.960669254,0.784849778,0.859047002,4.915223652,-135.6040509,0.784849758,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,905939,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.827412283,0.827412283,0.922404967,0.662430496,0.627435944,0.52245229,0.627435944,0.553057913,3.312728027,-130.4003539,0.592441379,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.982175782,0.824393876,0.70054321,0.64058951,0.552628738,0.504695816,0.436944587,0.362123294,0.414639032,1.3034963,-4.847609493,0.335344706
1036,907287,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.912167966,1,1,0.99163665,0.85035899,0.871546944,0.762078924,0.655573672,3.914970785,-8.337016596,0.727324356,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,0.863988442,1,1,1,0.993632428,0.459821262,35.11751248,-370.8608224,0.971524179
1036,907792,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.955591148,1,1,1,1,1,0.800510525,1.020571322,0.735232513,-102.3896206,-0.366457798,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.968080852,0.988017054,1,1,1,1,1,1,0.824642783,1.027780715,0.432663923,-121.2390542,-1.316140592
