DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,fd_uM_0_x,fd_uM_1_x,fd_uM_2_x,fd_uM_3_x,fd_uM_4_x,fd_uM_5_x,fd_uM_6_x,fd_uM_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_uM_0_y,fd_uM_1_y,fd_uM_2_y,fd_uM_3_y,fd_uM_4_y,fd_uM_5_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,param_1_y,param_2_y,param_3_y,param_4_y
1373,905949,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.934784215,0.916773887,0.853690589,0.608146632,0.732050149,0.786081135,0.777075971,0.420088385,4.45075599,-143.2391753,0.725838452,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.909633231,0.664139242,0.456516425,0.636638376,0.730880245,0.1186508,2.419314084,-14.83123714,0.611814674
1373,906791,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.911565169,1,1,0.896980017,1,0.765599108,1.023271362,0.64775215,-98.80305722,-0.57115019,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.793982061,0.638406253,0.900286747,0.52832031,4.335507692,-131.8367577,0.769346505
1373,687777,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,1,0.940667705,1,0.742445255,33.70844589,-221.0925448,0.970333844,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.871049559,1,0.894733296,0.925129924,1,-0.022464264,-5.340829498,-136.6102639,0.938182568
1373,905970,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.934241991,0.851708682,0.879207787,1,0.906742885,0.875788395,0.944572152,0.117410319,11.07051725,-133.1596991,0.909669985,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
1373,1503370,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,0.786436908,0.860181013,0.838057782,0.608133552,5.821576882,-280.1579673,0.828225235,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.737209606,0.543642952,0.340542573,0.320686582,0.602585177,0.011564711,0.856107033,-8.310321209,0.430313212
1373,1247873,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.987239746,0.979897704,0.994581789,1,0.851315861,0.840283577,0.807225166,0.688674173,5.931568845,-133.2530618,0.82375437,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.948487813,0.859137811,0.772474895,0.861150335,0.271665636,5.465799894,-11.70104421,0.819299761
1373,1290908,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
1373,753600,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.937646853,1,0.954601493,1,1,0.943318092,0.994122935,-0.032152547,0.991248439,-114.8128827,0.975669904,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,1,0.874292847,1,0.599590165,15.90991539,-163.1426664,0.937146425
1373,1298348,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,0.963976536,1,0.872995077,1.022014516,0.939126424,-95.7989269,-0.069965477,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.920648938,0.80747477,0.650409433,0.58963445,1,0.043185905,3.494905727,-11.65826252,0.752629806
1373,687799,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,0.999126364,1,0.909077605,0.945119425,0.873091577,0.579399854,5.238860175,-5.515081025,0.815668788,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.813650359,0.823195895,0.779958454,0.926262028,1,-0.015939856,-1.6127145,-139.3852767,0.868613336
