DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_num_6_y,fd_num_7_y,fd_num_8,fd_num_9,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,norm_cells_6_y,norm_cells_7_y,norm_cells_8,norm_cells_9,param_1_y,param_2_y,param_3_y,param_4_y
1036,905949,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.911757934,0.741571492,0.972688309,1,1,1,0.599338603,1.026687606,0.413532125,-100.0007825,-1.471616836,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.888678089,0.944708308,1,0.964867653,0.83756464,0.854394678,1,0.744070255,0.83923075,0.508286611,4.098395571,-4.003397433,0.725380787
1036,906791,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.895990125,1,0.883023961,0.965186434,1,0.818127988,1,-0.036676245,-13.34979086,-92.12981242,0.937475497,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,906805,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.925784573,1,1,1,0.862503075,0.768643108,0.495207348,0.993005055,1.032658337,-8.279626342,0.019064041,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.849573105,1,1,1,1,1,1,1,0.068631953,-0.000799429,0.040386899,-0.033530194
1036,724859,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,0.961271271,1,0.783684771,0.741099684,0.623897796,0.638968884,2.720330785,-11.75376383,0.633262689,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.975151238,1,1,1,0.965004731,1,1,1,1,-0.03683279,3.581060882,-135.4418606,0.993350665
1036,905970,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.824173583,0.862002849,0.978982027,0.917037053,0.899868109,0.875788395,0.827628968,0.726539046,8.929729598,-12.75165722,0.803879684,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.999218986,0.858276183,0.935197572,1,1,1,1,0.877377642,1.02259488,0.777370256,-120.8154073,-0.309421956
1036,1503370,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.874632295,1,1,0.855570383,1,0.804706686,0.66482354,0.846067007,3.445777498,-118.1870119,0.664823516,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.991825736,1,0.949460065,1,0.884129496,0.842027183,0.726987618,0.612106069,0.836382264,1.690762565,-7.140171799,0.408835248
1036,1290908,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.991597891,1,1,1,1,1,0.77958443,1.021994639,0.625258658,-105.0011906,-0.600538383,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.71860704,0.836410083,1,1,0.993261819,1,1,1,1,0.296746311,6.785652218,172.742321,0.851672713
1036,907786,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.917427842,0.775896653,0.81539453,0.707312563,4.893459468,-171.9931988,0.795645595,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,0.894290022,0.836114099,0.526186932,0.503533666,0.772163862,1.919698096,-19.37197842,0.472301992
1036,753592,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,0.999626115,1,1,0.988929559,0.999626115,0.853564091,1.027363394,0.699802793,-92.82023573,-0.430662222,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.974337978,0.889148129,0.929610598,1,0.868257077,0.87267499,0.678886093,0.463358261,1.061939629,0.830853599,-8.088526931,-0.235031979
1036,724866,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.895185167,1,1,1,0.992671213,1,0.841558917,1.024874918,0.786305427,-92.90573748,-0.287790661,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,0.831959697,1,0.958312781,0.689175436,14.30426215,-321.8719142,0.930090845
