DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,fd_uM_0_x,fd_uM_1_x,fd_uM_2_x,fd_uM_3_x,fd_uM_4_x,fd_uM_5_x,fd_uM_6_x,fd_uM_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_uM_0_y,fd_uM_1_y,fd_uM_2_y,fd_uM_3_y,fd_uM_4_y,fd_uM_5_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,param_1_y,param_2_y,param_3_y,param_4_y
1373,910937,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,0.931665378,0.939920371,0.783075505,0.994976399,0.430054092,10.22226688,-21.25632086,0.903993335,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.899390644,0.892389686,0.809439228,0.780325601,0.881153957,-0.538712572,-4.318963533,-4.313508901,0.828504554
1373,753588,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.812849221,1,1,1,0.773038811,1,0.952289872,-0.03002668,-5.148661125,-100.2726135,0.934025417,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.99352666,0.962456712,0.905695185,0.945102646,0.927811301,0.304404187,14.17228198,-89.73927455,0.926203052
1373,713899,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.998104185,1,0.979619985,1,0.897885882,1,1,0.178676241,36.37332237,-14.37816036,0.972420952,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,1,0.983998055,1,0.592339673,124.9848474,-145.3120887,0.99199903
1373,753589,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,1,0.976922522,1,0.727299758,86.66454532,-375.4580821,0.988461256,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.968482525,1,0.958829174,0.877648066,0.740131718,0.722372755,3.003227781,-7.937841909,0.657345717
1373,753594,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.922167224,0.926915702,0.977527523,0.936396111,1,0.988596274,0.165087303,24.12843985,-131.8259994,0.958600544,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.980883781,0.945893089,1,0.491611549,36.96386824,-70.19778789,0.972946558
1373,687997,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,1,0.844340376,1,1,0.594848197,19.27282154,-260.7077789,0.948113461,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.973815629,0.978863403,0.911398008,0.97189471,0.983397269,-0.383108445,0.339094986,-8.398778677,0.960218373
1373,1330964,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.93479481,1,0.85313724,0.938260898,0.849649624,1,1,-0.493320391,-51.24969285,-8.537701078,0.938331502,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.986660958,0.975109869,0.984284552,1,0.199462681,73.87974488,-63.65203394,0.986464818
1373,908469,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.885080749,0.987357507,1,1,0.929554973,1,0.920646171,1.03530953,0.921409688,-87.51517363,-0.113579509,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.855260924,1,1,0.865956991,1.028278779,1.228498308,-60.22404805,0.157051102
1373,1298349,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.943443428,1,1,0.888329144,1,0.869973732,1.025725746,0.870313852,-94.27882603,-0.173042559,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.995970227,1,1,0.996919201,1,-0.04899213,-6.939485764,-134.0092746,0.998577893
1373,1240182,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.848063441,0.995923206,1,1,0.874362609,1,0.936793051,0.998520688,6.483472894,-85.3363122,0.805526314,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
