,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
40,1036,16245_1036_753610_0,753610,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.968676048334964,1.0,1.0,1.0,0.928222222968754,1.0,0.867541484919439,1.0247154399718426,0.8548041483136706,-94.96340234269532,-0.1845867815731177,0.9730015284246495,0.9967191908093879,0.9973604835533924,1.0694570818695641,0.9441614880973074,0.8653087668341026,0.7421135702091005,0.8208022676223299,0.8432114526418946,0.7421135702091005,0.8675421108998771,1.5,1.5
17,1036,14105_1036_1330964_0,1330964,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.945076062947742,0.995966468070603,1.0,1.0,1.0,1.0,0.950343118941345,0.9960906881425372,5.212816231058664,-91.00333899891974,0.7997427785695337,0.8717541233544734,0.937634752834686,0.9815574366126942,1.0035524099639104,1.0480936834884016,1.0503499718571412,0.945070541905417,0.8498941121253877,0.8494133863158204,0.945070541905417,0.9503433326570436,1.5,1.5
30,1036,51514_1036_924241_0,924241,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.969086580287596,1.0,0.954765292480581,1.0235760717449796,1.8084644513883867,-82.15866737330694,0.4426286660945333,1.0077251043123798,0.9855680368782468,0.9657222160307954,0.9953680084057756,1.0511858449158926,0.9688478623346534,0.9219065595072302,0.8474288530020984,0.8528413748837574,0.9219065595072302,0.9547654789981943,1.5,1.5
22,1036,8655_1036_1240186_0,1240186,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.871219830520647,0.936183568043355,0.849583372333168,0.979483665898449,0.806283274478075,0.757574062076111,1.0,-0.0261249267939737,-2.808057248237388,-93.69135638511956,0.8857610991254828,0.9303115021755707,0.9668643445518754,0.9806305126582154,1.0162043940651895,0.9886884657126875,0.9089089585089203,0.8607482478373051,0.8233596808324166,0.7592238005452719,0.8607482478373052,0.8857610991254828,1.5,1.5
36,1036,10692_1036_688031_0,688031,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.94135616500392,1.0,1.0,0.982548721919077,0.980769143516649,0.790934958988138,0.527744679471108,0.8431409062518621,2.1506802945106545,-30.741664737111712,0.5198317067560181,0.9482909886528703,0.9710268519757846,0.9844781425004605,1.0453029340539222,1.0809452834025408,1.0312769917817335,0.9176178302298708,0.8657719267896025,0.7825032806333163,0.9176178302298708,0.5277445031385297,1.5,1.5
32,1036,14515_1036_688023_0,688023,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.342314667849852,4744.818841187729,-5.060534470862448,0.9999999999307112,0.9376381437405464,0.9267426202480299,0.914075912484999,0.9706822278742956,1.008482230264358,0.9087005071559519,0.8955086985815063,0.8063461124848442,0.857142856967696,0.8955086985815063,0.9999999999325262,1.5,1.5
19,1036,14108_1036_1298349_0,1298349,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.877129530036449,0.877129530036449,0.7791398390567381,8.13865366561912,-299.78294877346985,0.8771295547136227,1.002146686544889,1.003535876679082,0.986189624578041,0.9182597557187309,0.8430999553650206,0.8173041942229979,0.807326977427068,0.7819494064493426,0.8308650031451409,0.807326977427068,0.8771295547136227,1.5,1.5
21,1036,53673_1036_1240182_0,1240182,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.986091098963613,1.0,1.0,0.589353892213442,215.68888336450985,-389.2266220060058,0.995363692442576,0.9434824951035374,0.999136453557579,1.0106846924037522,0.9809848389532241,0.8385816578292986,0.7377553052591902,0.7107282678470904,0.7715319518824587,0.855302986285037,0.7107282678470904,0.995363692442576,1.5,1.5
34,1036,11288_1036_688025_0,688025,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,0.914880249022314,0.945822053334995,0.903726404733283,0.987825234833793,0.724779443818482,1.0223847553451102,0.5972768924795718,-102.92611240684664,-0.7096574376937763,0.9391749332732477,0.9785289425968066,0.982572439305398,0.9123518620850276,0.7872022547144005,0.7535842594227666,0.7289313583619627,0.7506749008609361,0.8242906093342738,0.7289313583619627,0.7247789628766439,1.5,1.5
29,1036,50887_1036_688018_0,688018,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973478052816637,0.999154985028191,0.741285953925697,73.08088800357325,-225.31217478597983,0.9863165318962742,0.9841425886444704,0.9837413934049553,0.9689917512783683,0.9614000746419344,0.925025112854131,0.8453111969893585,0.8214957802390721,0.7981841018114033,0.8538633834065386,0.821495780239072,0.9863165318962742,1.5,1.5
