,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
21,1036,11849_1036_1240173_0,1240173,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,1.0,0.889813975488012,0.895341312934469,0.545559073552702,0.459047575958665,0.7558934270317783,1.8701635677750448,-19.976604076515507,0.4470536373051816,1.0108591037017542,1.0974924516260975,1.0257189709086576,0.9137440813271371,0.8148092871017191,0.7785705271119562,0.7292858672205623,0.7884110715272311,0.7273649435331174,0.7292858672205622,0.4545707116164546,1.5,0.897897897914915
22,1036,50643_1036_908442_0,908442,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.932142353880599,0.965805673381319,1.0,1.0,0.973808756820393,1.0,1.0,-0.0335157175782973,1.6028198640136146,-118.44663427164498,0.9816795416032263,0.9811681529959646,1.0599756533732432,0.9874237271799733,0.8500577307214322,0.7450795011322047,0.736985218280497,0.7192550258034307,0.7492122619696387,0.8414396069553866,0.7192550258034307,0.9816795416032263,1.5,1.5
41,1036,17219_1036_909755_0,909755,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.922414759446562,1.0,0.90739558276116,0.986188136610738,1.0,0.914440181113601,0.959939451660554,-0.9578866759691632,0.0842233559299136,-0.0244370059326247,0.0688106333535304,0.9692655363963955,0.9632491915074403,0.919382945994246,0.8778122161193423,0.8468198190878031,0.8492422497719603,0.8740243619156144,0.7678792356336921,0.822727650393203,0.8740243619156144,0.9512430308858434,1.5,1.5
19,1036,14427_1036_907794_0,907794,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,1.0,0.871819687760775,0.764440592332132,0.581707326441323,0.597695889726825,0.513188326531704,0.4706717943782313,2.079568872895316,-9.566849874880791,0.5309713947445249,0.9627125530524894,1.0175208812094312,0.9543764790510265,0.8556385409876576,0.7609930496736097,0.7730752814676268,0.7799550103385567,0.7488661717177161,0.6499386329662968,0.7799550103385567,0.5372096099792051,1.5,1.5
35,1036,3747_1036_1674021_0,1674021,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,0.930574441482992,0.884046196572671,0.817510472336232,0.9172806572229,0.717773688917553,0.850778334454452,0.1245517996536424,4.740489249263792,-7.481754364430687,0.8141516520116049,0.946872698181919,0.9565624697914898,0.8878049294104805,0.8128949238747695,0.7467584849138005,0.7688852796768009,0.8102540558054085,0.7213775464825838,0.7437762918109324,0.8102540558054085,0.8155722949790817,1.5,1.5
34,1036,10116_1036_909740_0,909740,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.966393327342659,0.987307596756048,0.984707000428467,1.0,1.0,0.853883317802044,0.840798212069583,0.8324210837021419,6.71427263122362,-171.68343368894054,0.8407981991764683,1.0071427833984588,1.116776376285587,1.0408898928513604,0.9156668788047903,0.7941074054408008,0.7585930276227923,0.7328105633301062,0.7878026800557973,0.8250373194626188,0.7328105633301061,0.8407981991767882,1.5,1.5
33,1036,11447_1036_910905_0,910905,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.875168142649239,1.0,1.0,1.0,1.0,1.0,1.0,0.2543692405390787,16.02155149884661,240.70329562298767,0.9375840723030566,1.031739093116469,1.0755542559652387,1.0395911538766522,1.0333655515580458,0.9926136421897686,0.9520486528234116,0.9209381281597581,0.8683836429639461,0.8509020252890035,0.9209381281597581,1.0000000000034412,1.5,1.5
43,1036,18333_1036_909761_0,909761,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.858506073680212,0.95858261169928,0.858506073680212,1.0,1.0,0.935848200864058,0.731069264556719,0.8697404894163244,4.654118767595726,-116.9399623513265,0.7310690212446651,1.0280381634224856,1.0859673398351062,1.047258303981844,1.0285607774125025,0.9760867934933392,0.9520201748897569,0.9553311296471863,0.8699434329230442,0.7856366884278702,0.9553311296471863,0.7310692636769527,1.5,1.5
32,1036,40771_1036_1660036_0,1660036,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,0.951047728563478,0.917527969369527,0.94045865768988,1.0,0.889321193471039,0.843459816830333,0.790569806038336,0.649533447565104,5.91826925857462,-14.63480422727056,0.792091194981656,0.9662492269703812,1.011519516562521,0.9475740484706663,0.8691866001518777,0.7868606439777861,0.7910543014083147,0.7961709669534145,0.7564661794881724,0.7846796451687027,0.7961709669534146,0.7978130649858768,1.5,1.5
23,1036,11993_1036_908458_0,908458,1000,10.0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1.0,1.0,1.0,0.89880695596906,1.0,1.0,0.873261920732186,0.766492415089093,0.792037450325966,0.7021226707459545,4.987619239141821,-142.38463942334633,0.7792649263882435,1.0062799818325718,1.0843408427191148,1.0033160489644786,0.8852212598317316,0.7789462142869517,0.7554150346732884,0.7449726414816091,0.7709033856816024,0.7823349347335582,0.7449726414816091,0.7792649263882435,1.5,1.5
