5,0.083963,0.084729,0.085033,0.084275,0.084189,0.083997,0.084256,0.085487,0.084884,0.08388,0.084704,0.085108,0.084263,0.083973,0.084813,0.083658,0.083827,0.084763,0.083245,0.084427,0.085075,0.085075,0.084813,0.085031,0.084223,0.083798,0.091159,0.083726,0.084981,0.084317,0.084248,0.084011,0.083726,0.084138,0.08441,0.083505,0.08359,0.084459,0.083927,0.084446,0.085064,0.084326,0.083823
11,0.44064,0.44333,0.44436,0.44021,0.44134,0.44067,0.446,0.44668,0.44378,0.44026,0.44326,0.44412,0.44147,0.44044,0.4425,0.43954,0.44009,0.4425,0.4384,0.44236,0.44471,0.44475,0.44313,0.44441,0.44086,0.44006,0.43982,0.43984,0.44416,0.44155,0.44132,0.44077,0.4399,0.44126,0.44212,0.43896,0.43938,0.4426,0.44039,0.44251,0.44456,0.44178,0.43995
9,1.1237,1.1297,1.133,1.1228,1.1254,1.1238,1.1262,1.139,1.1316,1.1229,1.13,1.1324,1.1259,1.1235,1.1285,1.121,1.1225,1.1284,1.1185,1.128,1.134,1.134,1.1316,1.1331,1.1241,1.1223,1.1219,1.1218,1.1324,1.126,1.1255,1.1241,1.1219,1.1253,1.1274,1.1198,1.1207,1.1286,1.1232,1.1283,1.1335,1.1266,1.1222
3,0.29785,0.29961,0.30041,0.29789,0.29835,0.29795,0.29842,0.30199,0.30003,0.29769,0.29961,0.30041,0.2985,0.2978,0.29924,0.29721,0.29757,0.29919,0.29652,0.29906,0.30064,0.30068,0.29952,0.30045,0.29794,0.29757,0.29741,0.29738,0.30039,0.29856,0.29839,0.29798,0.29738,0.29832,0.29889,0.29699,0.29717,0.2992,0.29797,0.29915,0.30088,0.29868,0.30001
8,0.074951,0.077388,0.07848,0.074816,0.075994,0.075121,0.076194,0.079501,0.07833,0.074875,0.077624,0.078353,0.076239,0.074958,0.076902,0.073556,0.074323,0.077105,0.072216,0.076567,0.07869,0.078674,0.07783,0.078643,0.075046,0.074325,0.074081,0.08227,0.078183,0.076176,0.075919,0.075079,0.074071,0.075435,0.076571,0.07296,0.073365,0.077066,0.074856,0.076478,0.07841,0.076066,0.07422
2,0.062164,0.063004,0.06368,0.062078,0.062427,0.062657,0.062631,0.063736,0.06317,0.062067,0.063024,0.063569,0.062461,0.062261,0.062809,0.069552,0.06199,0.062872,0.061396,0.062651,0.063361,0.06335,0.062996,0.063361,0.062264,0.061993,0.062004,0.061884,0.063193,0.062515,0.062554,0.062258,0.061927,0.062432,0.062659,0.062464,0.06178,0.062705,0.062535,0.062662,0.063389,0.062523,0.061964
4,0.14822,0.14883,0.14929,0.14788,0.14878,0.14804,0.14829,0.15006,0.14907,0.1479,0.14887,0.14946,0.1483,0.14801,0.14865,0.14766,0.14783,0.14864,0.14728,0.14863,0.14937,0.1494,0.14885,0.1494,0.14806,0.14783,0.14776,0.14774,0.14918,0.14842,0.14826,0.1481,0.15285,0.14824,0.14856,0.14747,0.14761,0.14873,0.14794,0.14864,0.14932,0.14855,0.14781
12,0.44064,0.44333,0.44436,0.44021,0.44134,0.44067,0.446,0.44668,0.44378,0.44026,0.44326,0.44412,0.44147,0.44044,0.4425,0.43954,0.44009,0.4425,0.4384,0.44236,0.44471,0.44475,0.44313,0.44441,0.44086,0.44006,0.43982,0.43984,0.44416,0.44155,0.44132,0.44077,0.4399,0.44126,0.44212,0.43896,0.43938,0.4426,0.44039,0.44251,0.44456,0.44178,0.43995
0,0.074951,0.077388,0.07848,0.074816,0.075994,0.075121,0.076194,0.079501,0.07833,0.074875,0.077624,0.078353,0.076239,0.074958,0.076902,0.073556,0.074323,0.077105,0.072216,0.076567,0.07869,0.078674,0.07783,0.078643,0.075046,0.074325,0.074081,0.08227,0.078183,0.076176,0.075919,0.075079,0.074071,0.075435,0.076571,0.07296,0.073365,0.077066,0.074856,0.076478,0.07841,0.076066,0.07422
10,0.54061,0.54372,0.54525,0.54015,0.5415,0.54073,0.54165,0.54804,0.54453,0.54022,0.54376,0.54512,0.54169,0.54041,0.54297,0.53927,0.54,0.54297,0.53793,0.54954,0.54562,0.54572,0.54354,0.5453,0.54083,0.53995,0.5397,0.53967,0.54498,0.54177,0.54151,0.54083,0.53976,0.5414,0.54248,0.53862,0.53915,0.54517,0.54036,0.54298,0.54547,0.54207,0.53986
