16,0.082019,0.082019,0.088851,0.11196,0.11196,0.068823,0.068823,0.08048,0.073011,0.078058,0.10977,0.1058,0.070511,0.094821,0.10464,0.58347,0.060125,0.10426,0.011092,0.011092,0.011092,0.011092,0.67412,0.083658,0.1087,0.10764,0.11103,0.10097,0.081225,0.080524,0.080524,0.073925,0.070702,0.070702,0.11076,0.10464,0.087609,0.081961,0.081961,0.050295,0.058937,0.060894,0.0798,0.071645,0.01928,0.06271,0.09465,0.11935
18,0.7331,0.7331,0.81749,1.0214,1.0214,0.40419,0.40419,0.50061,0.54925,0.69725,0.96564,0.8529,0.50207,0.80567,0.74522,0.60965,0.44212,0.71555,0.047213,0.047213,0.047213,0.047213,0.84425,0.72403,0.5751,0.78482,0.93454,0.86051,0.75572,0.52397,0.52397,0.3915,0.29976,0.29976,0.83165,0.68541,0.64988,0.78175,0.78175,0.43363,0.29467,0.57931,0.67324,0.58632,0.07129,0.31835,0.79714,0.70838
17,0.12473,0.12473,0.14207,0.18099,0.18099,0.16633,0.16633,0.14176,0.10836,0.12799,0.16865,0.14829,0.16693,0.13915,0.19362,0.17446,0.12001,0.1607,0.029123,0.029123,0.029123,0.029123,0.13617,0.13343,0.15781,0.18576,0.15161,0.14839,0.11781,0.13819,0.13819,0.12249,0.41287,0.41287,0.17855,0.16381,0.13885,0.12471,0.12471,0.125,0.097663,0.089952,0.1203,0.13314,0.037826,0.11756,0.1452,0.19011
6,0.21813,0.21813,0.25114,0.31981,0.31981,0.17923,0.17923,0.21923,0.20198,0.19601,0.30243,0.29087,0.18566,0.26187,0.28466,0.2879,0.16924,0.27592,0.028884,0.028884,0.028884,0.028884,0.2414,0.21502,0.27351,1.0023,0.28264,0.28203,0.22385,0.21631,0.21631,0.18758,0.20294,0.20294,0.27361,0.80391,0.2362,0.22504,0.22504,0.15099,0.15414,0.17265,0.21939,0.20013,0.049127,0.17448,0.27332,0.31415
10,0.063808,0.063808,0.091022,0.10375,0.10375,0.14349,0.14349,0.065313,0.079924,0.064827,0.084041,0.090874,0.068002,0.07885,0.10694,0.50162,0.060798,0.089911,0.025908,0.025908,0.025908,0.025908,0.070306,0.077546,0.088207,0.091598,0.077837,0.087569,0.062756,0.087315,0.087315,0.060024,0.065601,0.065601,0.097299,0.092881,0.070903,0.067002,0.067002,0.045543,0.30675,0.050917,0.058949,0.058267,0.058946,0.13728,0.12234,0.11374
8,0.07833,0.07833,0.092293,0.10978,0.10978,0.055452,0.055452,0.083891,0.078505,0.064319,0.12452,0.10961,0.047043,0.098108,0.090596,0.08828,0.038758,0.096326,0.011745,0.011745,0.011745,0.011745,0.084702,0.070086,0.09905,0.79142,0.11159,0.10519,0.072814,0.58961,0.58961,0.063744,0.06405,0.06405,0.091474,0.10187,0.068779,0.084901,0.084901,0.052895,0.038036,0.067362,0.08706,0.081371,0.0117,0.053572,0.098883,0.10432
4,0.12999,0.12999,0.14778,0.19646,0.19646,0.17338,0.17338,0.1304,0.12766,0.12781,0.17508,0.17444,0.13575,0.15718,0.20135,0.21405,0.11994,0.19713,0.020101,0.020101,0.020101,0.020101,0.14766,0.14467,0.16405,0.20132,0.17108,0.16748,0.12777,0.14404,0.14404,0.27699,0.14403,0.14403,0.19341,0.17765,0.16354,0.14113,0.14113,0.11042,0.10599,0.097619,0.13046,0.11756,0.046474,0.12244,0.15733,0.2236
14,1.2261,1.2261,1.399,1.7623,1.7623,0.98275,0.98275,0.89359,1.065,1.2015,1.6509,1.516,0.63514,1.4122,1.4561,1.2965,0.50516,1.3647,0.20255,0.20255,0.20255,0.20255,0.83279,1.2687,1.0767,1.5065,1.6007,1.4955,1.2749,0.68172,0.68172,0.90589,0.63579,0.63579,1.5254,1.3281,1.2695,1.3038,1.3038,0.49578,0.7835,0.95425,1.1572,1.11,0.26069,0.82491,1.4479,1.4939
12,0.096496,0.096496,0.10976,0.14585,0.14585,0.088827,0.088827,0.092932,0.087309,0.098914,0.12486,0.12958,0.11407,0.11675,0.14957,0.1464,0.11884,0.13483,0.031327,0.031327,0.031327,0.031327,0.11909,0.10744,0.12699,0.14956,0.12196,0.12442,0.1119,0.4332,0.4332,0.090907,0.10259,0.10259,0.13787,0.1215,0.13746,0.096479,0.096479,0.069529,0.0928,0.069562,0.089229,0.083779,0.040681,0.090913,0.1269,0.16615
2,0.21298,0.21298,0.26636,0.32944,0.32944,0.30912,0.30912,0.2219,0.23803,0.20575,0.28612,0.29803,0.27922,0.26249,0.31048,0.29163,0.22107,0.27749,0.064011,0.064011,0.064011,0.064011,0.2559,0.23843,0.2967,0.30963,0.28464,0.28103,0.21334,0.25116,0.25116,0.20829,0.2496,0.2496,0.29571,0.298,0.24595,0.2219,0.2219,0.29959,0.21336,0.16982,0.20445,0.21669,0.099994,0.27103,0.31872,0.33626
