,COSMIC_ID,BestModel,TestLogLoss,IC50_MSE,AUC_MAE,Emax_MAE,CrossVal_N
0,749709,bash526,11.583977117781853,0.3319954794860167,0.10310264278704895,0.44089649967606614,4
0,749710,bash535,9.1819863579377,0.44444448148148213,0.13015902396230572,0.48778617200734853,4
